Type,Phrase Type,Label,Topic,Parent,Label Explanation,Example Sentence,Example Source,Example Url,English,French,Spanish,Italian,Arabic
Phrase,N,A,Huawei-TikTok,,Dismissing concerns about national security by attempting to sow doubt.,"Except for that, there has been no credible evidence offered whatsoever despite all the security threat clamor.",China Daily,http://www.chinadaily.com.cn/a/202005/24/WS5eca6650a310a8b241158044.html,no credible evidence,aucune preuve crédible,sin pruebas creíbles,nessuna prova credibile,عدم وجود دليل موثوق
Phrase,N,A,Huawei-TikTok,,Attempting to belittle allied opposition to PRC tech exports.,"With major tech powerhouses worldwide drawing blueprints for the development of 6G -- the next-generation wireless technology, Washington has been in too much of a hurry to form a small clique of allies in a frantic attempt to exclude and suppress China.",Xinhua,http://www.news.cn/english/2021-12/07/c_1310357263.htm,small clique of allies,petite clique d'alliés,pequeña camarilla de aliados,piccola cricca di alleati,زمرة صغيرة من الحلفاء
Phrase,N,O,Huawei-TikTok,,Unfavorable characterization of the CCP's actions.,Two Canadians who were released by China in a high-stakes prisoner swap deal were greeted by Prime Minister Justin Trudeau with an elbow-bump when they arrived back in Calgary on Saturday morning after three years in captivity.,Daily Mail,https://www.dailymail.co.uk/news/article-10027771/Canadians-home-Huawei-CFO-resolves-US-charges.html,prisoner swap,échange de prisonniers,intercambio de prisioneros,scambio di prigionieri,تبادل الأسرى
Phrase,V,A,Huawei-TikTok,,,,,,impeding cooperation,entrave à la coopération,impedir/dificultar la cooperación,bloccare la cooperazione,إعاقة التعاون
Phrase,V,A,Huawei-TikTok,,,,,,,,,impedire la cooperazione,
Phrase,N,O,Huawei-TikTok,,Unfavorable characterization of the CCP's actions.,China has been criticised for treating the [two Michaels] as bargaining chips – in what has been described as “hostage diplomacy”.,The Independent,https://www.independent.co.uk/news/world/olympics-canadian-athletes-boycott-china-b1901766.html,hostage diplomacy,diplomatie des hôtages,diplomacia de rehenes,ostaggi diplomatici,دبلوماسية الرهائن
Phrase,N,O,Huawei-TikTok,,Unfavorable characterization of the CCP's actions.,"Last year Mr Xenophon was criticised by former Prime Minister Malcolm Turnbull for his work as 'strategic counsel' for Chinese telecommunications company Huawei, which had been banned from supplying 5G in Australia due to concerns about Chinese spying.",Daily Mail,https://www.dailymail.co.uk/news/article-10085839/Nick-Xenophon-return-politics-work-Huawei.html,Chinese spying,espionnage chinois,espionaje chino,spie cinesi,التجسس الصيني
Phrase,N,O,Huawei-TikTok,,Attention to security risks is unfavorable to the CCP.,"The Biden White House, meanwhile, has kept up a hard line on Huawei and other Chinese corporations whose technology is thought to pose national security risks.",The Independent,https://www.independent.co.uk/news/world/americas/us-politics/meng-wanzhou-huawei-justin-trudeau-china-cfo-b1926900.html,security risks,risques de sécurité,riesgos de seguridad,rischi alla sicurezza,أخطار أمنية
Phrase,N,O,Huawei-TikTok,,Unfavorable characterization of the CCP's actions.,"Many countries labeled China’s action “hostage politics,” while China accused Ottawa of arbitrary detention.",The Independent,https://www.independent.co.uk/news/meng-wanzhou-china-taipei-foreign-ministry-taiwan-b1927606.html,hostage politics,politique des hôtages,política de rehenes,ostaggi politici,سياسة الرهائن
Phrase,V,A,Huawei-TikTok,,,,,,pressure other countries,faire pression sur d'autres pays,presionar a otros países,fare pressioni su altri paesi,الضغط على دول أخرى
Phrase,N,O,Huawei-TikTok,,Attention to security risks is unfavorable to the CCP.,"He said the Secure Equipment Act would ""help to ensure that insecure gear from companies like Huawei and ZTE can no longer be inserted into America's communications networks"".",BBC,https://www.bbc.com/news/technology-59262329,insecure gear,équipement non sécurisé,equipamento no seguro,dispositivi non sicuri,معدات غير آمنة
Phrase,V,A,Huawei-TikTok,,,,,,suppression of competitors,suppression des concurrents,supresión de competidores,soppressione dei concorrenti,قمع المنافسين
Phrase,N,A,Belt and Road,,,,,,partnership of equals,un partenariat entre égaux,asociación entre iguales,partenariato tra pari,شراكة بين أنداد
Phrase,N,A,Belt and Road,,,,,,Belt and Road cooperation,Coopération la ceinture et la route,cooperación en el marco de la Ruta y la Seda,cooperazione nel framework della Belt and Road,تعاون الحزام والطريق
Phrase,N,A,Belt and Road,,,,,,landmark project,projet phare,proyecto puntero,progetto epocale,مشروع تاريخي
Phrase,N,A,Belt and Road,,,,,,digital Silk Road,route de la soie numérique,Ruta de la Seda digital,Via della Seta digitale,طريق الحرير الرقمي
Phrase,N,A,Belt and Road,,,,,,platform for international cooperation,plate-forme pour la coopération internationale,plataforma para cooperación internacional,piattaforma per la cooperazione internazionale,منصة للتعاون الدولي
Phrase,N,A,Belt and Road,,,,,,people to people exchanges,échange de peuple à peuple,intercambio entre personas/entre pueblos,scambio tra i popoli,التبادل بين الناس
Phrase,N,A,Belt and Road,,,,,,international exchanges and cooperation,coopération et échanges internationaux,intercambio y cooperación internacional,scambi e cooperazione internazionale,التبادل والتعاون الدولي
Phrase,N,A,Belt and Road,,,,,,silk road economic belt,la ceinture économique de la soie,cinturón económico de la Ruta de la Seda,cintura economica della Via della Seta,حزام طريق الحرير الاقتصادي
Phrase,N,O,Belt and Road,,,,,,competition for influence,compétition pour l'influence,competición para influencia,competere per l'influenza,التنافس على النفوذ
Phrase,V,O,Belt and Road,,,,,,become pawns,devenir des pions,convertirse en marionetas,diventare pedine,تصبح بيادق
Phrase,V,O,Belt and Road,,,,,,,,,diventare una pedina,
Phrase,N,O,Belt and Road,,,,,,gullible leaders,dirigeants crédules,líderes crédulos,leader ingenuo,القادة السذج
Phrase,N,O,Belt and Road,,,,,,economic coercion,coercition économique,coacción económica,coercizione economica,القمع الاقتصادي
Phrase,N,A,Vaccines,,,,,,cargos containing sinovac vaccines,cargos contenant des vaccins sinovac,trasportes que contienen vacunas Sinovac,cargo contenenti vaccini sinovac,الشحنات التي تحتوي على لقاحات سينوفاك
Phrase,N,A,Vaccines,,,,,,,,,cargo che trasportano vaccini sinovac,شحنات لقاحات سينوفاك
Phrase,N,A,Vaccines,,,,,,vaccines donated by china,vaccins donnés par la Chine,vacunas donadas por China,vaccini donati dalla Cina,لقاحات تبرعت بها الصين
Phrase,V,A,Vaccines,,,,,,thank China,merci la Chine,agradecer a China,grazie Cina,شكرا للصين
Phrase,N,A,Vaccines,,,,,,global anti pandemic cooperation,coopération mondiale contre la pandémie,cooperación internacional contra la pandemia,cooperazione internazionale contro la pandemia,التعاون العالمي لمكافحة الوباء
Phrase,N,A,Vaccines,,,,,,,,,cooperazione internazionale contro il Covid-19,
Phrase,N,A,South China Sea,,,,,,a sea of peace,mer pacifique,un mar de paz,un mare di pace,بحر السلام
Phrase,N,A,South China Sea,,,,,,in the name of freedom of navigation,au nom de la liberté de navigation,en nombre de la libertad de navegación,in nome della libertà di navigazione,باسم حرية الملاحة
Phrase,N,A,South China Sea,,,,,,so called freedom of navigation,soi-disant liberté de navigation,la denominada libertad de navegación,cosiddetta libertà di navigazione,ما يسمى بحرية الملاحة
Phrase,V,A,South China Sea,,,,,,stirring up trouble,provoquer des troubles,crear problemas,creare problemi,إثارة المشاكل
Phrase,V,A,South China Sea,,,,,,,,,causare problemi,
Phrase,V,O,South China Sea,,,,,,ensure freedom of navigation,assurer la liberté de navigation,garantizar la libertad de navegación,garantire la libertà di navigazione,ضمان حرية الملاحة
Phrase,N,O,South China Sea,,,,,,free navigation and rule-based international order,la libre navigation et l'ordre international fondé sur des règles,libertad de navegación y orden internacional basado en reglas,libertà di navigazione e ordine internazionale basato su regole,حرية الملاحة والنظام الدولي القائم على النظام
Phrase,N,O,South China Sea,,,,,,historic security pact in the Asia-Pacific,pacte historique de sécurité en Asie-Pacifique,histórico pacto de seguridad en Asia Pacífico,storico patto di sicurezza nell'Asia-Pacifico,ميثاق أمني تاريخي في منطقة آسيا والمحيط الهادئ
Framing,,,Framings,,,,,,strong,Fort,fuerte,forte,قوي
Framing,,,Framings,,,,,,weak,faible,débil,debole,ضعيف
Framing,,,Framings,,,,,,rise,ascension,ascenso,ascesa,يرتفع
Framing,,,Framings,,,,,,fall,chute,caida,cadere,يسقط
Framing,,,Framings,,,,,,success,succès,éxito,successo,نجاح
Framing,,,Framings,,,,,,failure,échec,fracaso,fallimento,فشل
Framing,,,Framings,,,,,,stable,stable,estable,stabile,مستقر
Framing,,,Framings,,,,,,chaotic,chaotique,caótico,caotico,فوضوي
Framing,,,Framings,,,,,,democracy,démocratie,democracia,democrazia,ديمقراطية
Framing,,,Framings,,,,,,truth,vérité,verdad,verità,حقيقة
Framing,,,Framings,,,,,,lie,mensonge,mentira,menzogna,كذب
Framing,,,Framings,,,,,,opportunity,opportunité,oportunidad,opportunità,فرصة
Framing,,,Framings,,,,,,threat,menace,amenaza,rischio,تهديد
